Comment,Val,Package,Mid X,Mid Y,Rotation,Layer
"DIN0","SMD/RREC2.0X4.0","Lead_1.00mm",144.701100,-69.903600,-90.000000,bottom
"GND0","SMD/RREC2.0X4.0","Lead_2.00mm",141.601100,-69.303600,-90.000000,bottom
"J5","Conn_01x02_Pin","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",169.501100,-110.696000,90.000000,bottom
"J8","Conn_01x02_Pin","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",169.501100,-95.346000,90.000000,bottom
"V+0","SMD/RREC2.0X4.0","Lead_2.00mm",154.305000,-67.945000,-90.000000,bottom
"C1","CAP_0603","CAP_0402",167.201100,-71.503600,56.826796,top
"C2","CAP_0603","CAP_0402",138.201100,-142.203600,-111.554041,top
"C3","CAP_0603","CAP_0402",169.701100,-86.403600,-49.789191,top
"C4","CAP_0603","CAP_0402",158.501100,-78.703600,-21.295999,top
"C5","CAP_0603","CAP_0402",164.601100,-81.903600,-32.342626,top
"C6","CAP_0603","CAP_0402",173.501100,-92.103600,-61.019163,top
"C7","CAP_0603","CAP_0402",175.901100,-98.203600,-76.718207,top
"C8","CAP_0603","CAP_0402",176.701100,-105.003600,-89.804563,top
"C9","CAP_0603","CAP_0402",184.801100,-91.803600,13.544722,top
"C10","CAP_0603","CAP_0402",175.901100,-111.803600,-106.030728,top
"C11","CAP_0603","CAP_0402",179.801100,-127.403600,-39.836914,top
"C12","CAP_0603","CAP_0402",173.401100,-134.303600,-53.880109,top
"C13","CAP_0603","CAP_0402",165.701100,-139.303600,-66.531017,top
"C14","CAP_0603","CAP_0402",138.501100,-131.303600,155.770036,top
"C15","CAP_0603","CAP_0402",145.001100,-133.003600,170.804448,top
"C16","CAP_0603","CAP_0402",151.801100,-133.003600,-173.049601,top
"C17","CAP_0603","CAP_0402",158.301100,-131.403600,-158.668360,top
"C18","CAP_0603","CAP_0402",164.501100,-128.203600,-146.848241,top
"C19","CAP_0603","CAP_0402",169.701100,-123.603600,-134.168685,top
"C20","CAP_0603","CAP_0402",173.501100,-118.103600,-119.031140,top
"C21","CAP_0603","CAP_0402",184.301100,-119.603600,-27.862096,top
"C22","CAP_0603","CAP_0402",174.901100,-76.803600,40.142265,top
"C23","CAP_0603","CAP_0402",180.701100,-83.703600,29.427954,top
"C24","CAP_0603","CAP_0402",132.301100,-82.003600,35.076476,top
"C25","CAP_0603","CAP_0402",151.601100,-77.003600,-7.321559,top
"C26","CAP_0603","CAP_0402",158.801100,-67.903600,69.133929,top
"C27","CAP_0603","CAP_0402",144.901100,-77.003600,9.975195,top
"C28","CAP_0603","CAP_0402",138.201100,-78.803600,21.858340,top
"C29","CAP_0603","CAP_0402",130.801100,-70.803600,116.809748,top
"C30","CAP_0603","CAP_0402",123.101100,-75.803600,124.716565,top
"C31","CAP_0603","CAP_0402",122.501100,-133.203600,-136.420409,top
"C32","CAP_0603","CAP_0402",112.601100,-90.703600,154.063463,top
"C33","CAP_0603","CAP_0402",110.201100,-99.503600,165.901613,top
"C34","CAP_0603","CAP_0402",112.201100,-118.103600,-162.719172,top
"C35","CAP_0603","CAP_0402",127.301100,-123.603600,129.689839,top
"C36","CAP_0603","CAP_0402",132.401100,-128.103600,147.182240,top
"C37","CAP_0603","CAP_0402",186.801100,-110.503600,-13.784523,top
"C38","CAP_0603","CAP_0402",116.301100,-126.403600,-150.360472,top
"C39","CAP_0603","CAP_0402",130.001100,-138.703600,-120.446346,top
"C40","CAP_0603","CAP_0402",117.001100,-82.603600,142.518364,top
"C41","CAP_0603","CAP_0402",127.301100,-86.403600,49.474906,top
"C42","CAP_0603","CAP_0402",123.501100,-92.003600,63.426428,top
"C43","CAP_0603","CAP_0402",121.101100,-98.303600,77.212634,top
"C43","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.410000,-118.110000,90.000000,top
"C44","CAP_0603","CAP_0402",121.101100,-111.703600,103.144704,top
"C44","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.420000,-118.110000,90.000000,top
"C45","CAP_0603","CAP_0402",123.501100,-118.003600,118.574457,top
"C46","CAP_0603","CAP_0402",120.301100,-105.003600,90.006782,top
"C49","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.430000,-118.110000,90.000000,top
"D1","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.225000,-115.030000,180.000000,top
